"Cell
Model Passports
Identifier",Name,"Cosmic
Identifier",Tissue,"Cancer
Type","Microsatellite (MS)
instability (I) Status
= (S)table, (L)ow instability, (H)igh Instability",Whole Exome Sequencing Profiles,Copy Number Alteration Profiles,Transcriptional Profiles,Methylation Profiles,Drug Response Profiles,Transduction Efficiencty,Cas9 Activity,N of Replicates,Experiment Identifier,sgRNA library,"Replicate
Passing
Low Lev QC","CellLine
Passing
LowLev
QC","Hart Ess/nonEss.
AUROC","Hart Ess/nonEss.
AUPRRC","Ribosomal
proteins
Glass's Δ","Hart Essential genes
Glass's Δ","Hart
Non Essential genes
Glass's Δ","Passing High Level Quality Control Assessment 
(Analysis Set)"
SIDM00783,HCT-116,905936,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"25.9, 25.6, 25.8","90.6, 90.6, 90.6",3,"HCT116_C902R1_P1D14, HCT116_C902R2_P1D14, HCT116_C902R3_P1D14","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.931524665,0.756478578,3.148730243,1.526084161,10.68727813,TRUE
SIDM00596,HEC-1,907051,Endometrium,Endometrial Carcinoma,MSI-H,Y,Y,Y,Y,Y,"42.1, 42.6, 40.4","97.6, 97.6, 97.6",3,"HEC1_c907R1, HEC1_c907R2, HEC1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.910727656,0.890851188,2.884514503,1.40187122,8.308939467,TRUE
SIDM00968,Hey,1479988,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"25.4, 24.8, 27.2","95.1, 95.1, 95.1",3,"Hey_c905R1, Hey_c905R2, Hey_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.92423933,0.914347275,3.073267238,1.553200566,10.86649564,TRUE
SIDM00290,HGC-27,907055,Stomach,Gastric Carcinoma,MSI-S,Y,Y,Y,Y,Y,"30.9, 28.3, 26","97.7, 97.7, 97.7",3,"HGC27_c908R1, HGC27_c908R2, HGC27_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.928255394,0.924938685,3.229315556,1.556484453,12.4424354,TRUE
SIDM00591,HO-1-u-1,753561,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"47.7, 48.1, 47.3","95, 95, 95",3,"HO1u1_c908R1, HO1u1_c908R2, HO1u1_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925165823,0.915651336,2.820916437,1.562591509,8.377607574,TRUE
SIDM00133,HOP-62,905972,Lung,Lung Adenocarcinoma,MSI-S,Y,Y,Y,N,Y,"36.7, 36.3, 35.4","96.5, 96.5, 96.5",3,"HOP62_c906R1, HOP62_c906R2, HOP62_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.919924519,0.901744638,2.995714884,1.564284792,6.711650187,TRUE
SIDM00135,Hs-578-T,905957,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"39.2, 36.7, 39","88.5, 88.5, 88.5",3,"Hs578T_c904R1, Hs578T_c904R2, Hs578T_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.911648277,0.735258397,2.585298465,1.301289693,7.854542274,TRUE
SIDM00589,HSC-3,907061,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"30.4, 31.7, 30.6","97.2, 97.2, 97.2",3,"HSC3_c908R1, HSC3_c908R2, HSC3_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.917629085,0.900634308,2.687909353,1.55822335,7.213233258,TRUE
SIDM00045,HSC-39,1322224,Stomach,Gastric Carcinoma,MSI-S,Y,Y,Y,Y,Y,"37.5, 37.8, 39.6","78.4, 78.4, 78.4",3,"HSC39_c908R1, HSC39_c908R2, HSC39_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.933163917,0.923407424,3.113934494,1.749304546,7.651412311,TRUE
SIDM00588,HSC-4,907062,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.6, 26.5, 26.3","97.4, 97.4, 97.4",3,"HSC4_c908R1, HSC4_c908R2, HSC4_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.916188294,0.906057014,2.870756355,1.527834121,8.464326397,TRUE
SIDM00541,HT55,907287,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"33.1, 26.7, NA","81.6, 81.6, 81.6",3,"HT55_C902R1_P1D14, HT55_C902R2_P1D14, HT55_C902R3_P1D14","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.914708224,0.726591253,2.839081698,1.428046711,7.085436986,TRUE
SIDM00409,hTERT-RPE-1,NA,Eye,Eye Non Cancerous,NA,N,N,N,N,N,"40.9, 42.6, 45.1","93.9, 93.9, 93.9",3,"RPE1_c905R1, RPE1_c905R2, RPE1_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.913544952,0.890757729,2.799689502,1.563873076,5.938047993,TRUE
SIDM00533,HuP-T3,907285,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"25.2, 25.5, 26.7","75, 75, 75",3,"HuPT3_c904R1, HuPT3_c904R2, HuPT3_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.924483373,0.752151483,2.716009401,1.502040443,8.383456314,TRUE
SIDM00531,HuP-T4,907286,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"20.1, 28.6, 31","85.3, 85.3, 85.3",3,"HuPT4_c904R1, HuPT4_c904R2, HuPT4_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.917737838,0.720911047,2.472511543,1.375177268,6.912117731,TRUE
SIDM00151,IGROV-1,905968,Ovary,Ovarian Carcinoma,MSI-H,Y,Y,Y,Y,Y,"21.2, 23.1, 21.6","84.6, 84.6, 84.6",3,"IGROV1_c905R1, IGROV1_c905R2, IGROV1_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.913000401,0.893727399,2.523517196,1.44889394,6.435481315,TRUE
SIDM00225,IST-MEL1,907172,Skin,Melanoma,MSI-S,Y,Y,Y,Y,Y,"NA, NA, NA","83.8, 83.8, 83.8",3,"ISTMEL1_c904R1, ISTMEL1_c904R2, ISTMEL1_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.921040458,0.743303823,2.895868689,1.305400625,8.47334016,TRUE
SIDM00305,JHOS-2,1479995,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"40.7, 40.9, 42","89.3, 89.3, 89.3",3,"JHOS2_c905R1, JHOS2_c905R2, JHOS2_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.931927333,0.92238213,2.859581612,1.670763256,8.7999345,TRUE
SIDM00303,JHOS-4,1480359,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"46.7, 47.7, 49","86.4, 86.4, 86.4",3,"JHOS4_c905R1, JHOS4_c905R2, JHOS4_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.915171042,0.906598287,2.591498482,1.407573494,9.837994981,TRUE
SIDM00128,JHU-011,1240161,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"18, 18.3, 17.9","97.6, 97.6, 97.6",3,"JHU011_c907R1, JHU011_c907R2, JHU011_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918816509,0.907060892,3.139123604,1.526124622,9.558299667,TRUE
SIDM00127,JHU-022,1240162,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"32.4, 33.7, 33.4","97, 97, 97",3,"JHU022_c907R1, JHU022_c907R2, JHU022_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.913265113,0.899482514,2.430408267,1.338731067,8.940565718,TRUE
SIDM01037,JIMT-1,1298157,Breast,Breast Carcinoma,NA,Y,Y,Y,N,Y,"22.7, 22.8, 30.2","92.6, 92.6, 92.6",3,"JIMT1_c903R1, JIMT1_c903R2, JIMT1_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.909813066,0.728489509,2.638862198,1.322496858,7.341446072,TRUE
SIDM00687,KATOIII,907276,Stomach,Gastric Carcinoma,MSI-S,Y,Y,Y,Y,Y,"43.4, 42.5, 42.8","94.5, 94.5, 94.5",3,"KATOII_c908R1, KATOII_c908R2, KATOII_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.90757758,0.883056853,2.923259902,1.299021231,7.670366136,TRUE
SIDM00686,KLE,924187,Endometrium,Endometrial Carcinoma,MSI-S,Y,Y,Y,Y,Y,"28.5, 28.8, 30.8","90.7, 90.7, 90.7",3,"KLE_c908R1, KLE_c908R2, KLE_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.908530544,0.875014901,2.581012453,1.361933944,5.752383667,TRUE
SIDM00150,KM12,905989,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"30.4, 27.8, 27","82.5, 82.5, 82.5",3,"KM12_c908R1_100, KM12_c908R2_100, KM12_c908R3_100","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.928232705,0.913934529,3.372552734,1.500337972,9.397176382,TRUE
SIDM00608,KMS-11,1659817,Haematopoietic and Lymphoid,Plasma Cell Myeloma,NA,Y,Y,Y,N,Y,"34.6, 32.7, 35.1","91.9, 91.9, 91.9",3,"KMS11_c907R1, KMS11_c907R2, KMS11_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.929900393,0.916911277,2.800022037,1.536159717,9.047981426,TRUE
SIDM00606,KNS-62,753569,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"23.4, 22.9, 23.7","87.9, 87.9, 87.9",3,"KNS62_c906R4, KNS62_c906R5, KNS62_c906R6","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.908178855,0.903966928,2.841853973,1.421810723,11.07942942,TRUE
SIDM00604,KON,1298215,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"22.2, 20.8, 21.9","98.3, 98.3, 98.3",3,"KON_c908R1, KON_c908R2, KON_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.927597395,0.921045205,3.494619778,1.654178765,9.903405051,TRUE
SIDM00583,KP-1N,1298216,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"35.1, 36.4, 35.6","97, 97, 97",3,"KP1N_c904R1, KP1N_c904R2, KP1N_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.926041785,0.75804111,2.939272756,1.481628518,11.13527819,TRUE
SIDM00571,KP-3,1298219,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"24, 25.7, 25.4","77.1, 77.1, 77.1",3,"KP3_c904R1, KP3_c904R2, KP3_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.93703788,0.760125586,3.036311589,1.507437475,8.332992658,TRUE
SIDM00301,KP-4,753572,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"21.9, 21.9, 23.9","87.2, 87.2, 87.2",3,"KP4_c904R1, KP4_c904R2, KP4_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.930523642,0.758888828,2.803332499,1.537146827,11.48505075,TRUE
SIDM00556,KP-N-YN,907314,Peripheral Nervous System,Neuroblastoma,MSI-S,Y,Y,Y,Y,Y,"24.6, 27.7, 27","88.2, 88.2, 88.2",3,"KPNYN_c906R1, KPNYN_c906R2, KPNYN_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.903092596,0.892410057,3.548222885,1.537861547,7.428005904,TRUE
SIDM00157,KP-N-YS,946363,Peripheral Nervous System,Neuroblastoma,MSI-S,Y,Y,Y,Y,Y,"19.3, 16.5, 18.6","91.1, 91.1, 91.1",3,"KPNYS_c906R1, KPNYS_c906R2, KPNYS_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.930913863,0.912186083,3.198852621,1.739651138,6.921351902,TRUE
SIDM00554,KURAMOCHI,909975,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"63, 60.8, 63.3","79.2, 79.2, 79.2",3,"KURAMO_c905R1, KURAMO_c905R2, KURAMO_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.923146446,0.913074717,2.931878621,1.564919555,7.54910798,TRUE
SIDM00530,KYAE-1,1503368,Esophagus,Esophageal Adenocarcinoma,MSI-S,Y,Y,Y,Y,Y,"34.15, 35.55, 33.45","78.3, 78.3, 78.3",3,"KYAE1_c907R1, KYAE1_c907R2, KYAE1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.905267019,0.815733942,2.47608795,1.437978201,3.720099054,TRUE
SIDM01032,KYSE-140,753573,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"31.4, 37.9, 35.6","97.7, 97.7, 97.7",3,"KYSE14_c907R1, KYSE14_c907R2, KYSE14_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924243112,0.912814581,2.889859689,1.438940617,11.44846656,TRUE
SIDM01031,KYSE-150,907317,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"17.1, 17.3, 15.8","96.5, 96.5, 96.5",3,"KYSE15_c907R1, KYSE15_c907R2, KYSE15_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.910655806,0.904731074,3.274167516,1.514924997,9.199378821,TRUE
SIDM00551,KYSE-220,1240167,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"24, 25.5, 29.8","96.4, 96.4, 96.4",3,"KYSE22_c908R1, KYSE22_c908R2, KYSE22_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.93385217,0.922645204,2.788089355,1.531290546,11.91855013,TRUE
SIDM01029,KYSE-270,907319,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"22.8, 24, 24.4","97.1, 97.1, 97.1",3,"KYSE27_c908R1, KYSE27_c908R2, KYSE27_c908R3","V1.1, V1.1, V1.1","TRUE, FALSE, TRUE",TRUE,0.903886733,0.879101124,2.686020758,1.440294444,5.866995793,TRUE
SIDM01028,KYSE-410,753574,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"51.6, 51.8, 55.2","96.9, 96.9, 96.9",3,"KYSE41_C908R1, KYSE41_C908R2, KYSE41_C908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.935852638,0.921958259,2.888574413,1.546081332,12.0826926,TRUE
SIDM01027,KYSE-450,907320,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"24.8, 24.5, 24.9","98, 98, 98",3,"KYSE45_c908R1, KYSE45_c908R2, KYSE45_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918801383,0.907610444,3.108079394,1.503152232,10.69968133,TRUE
SIDM01026,KYSE-510,907321,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"40.1, 43.8, 32.5","95.9, 95.9, 95.9",3,"KYSE51_c907R1, KYSE51_c907R2, KYSE51_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925593145,0.91424621,2.94188657,1.546881209,10.48491894,TRUE
SIDM01025,KYSE-520,753575,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"45.4, 44.6, 46.6","98, 98, 98",3,"KYSE52_c908R1, KYSE52_c908R2, KYSE52_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.896251673,0.8801712,2.999675076,1.491027132,6.358041829,TRUE
SIDM01024,KYSE-70,753576,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"22.7, 21.9, 30.6","98.6, 98.6, 98.6",3,"KYSE70_c907R1, KYSE70_c907R2, KYSE70_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924216641,0.915544652,3.177166737,1.544979502,11.0966469,TRUE
SIDM00312,L-363,924239,Haematopoietic and Lymphoid,Plasma Cell Myeloma,MSI-S,Y,Y,Y,Y,Y,"16.8, 16.1, 16.8","92.3, 92.3, 92.3",3,"L363_c907R4, L363_c907R5, L363_c907R6","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924492698,0.912479786,3.559174836,1.710643562,6.366722253,TRUE
SIDM00187,LB1047-RCC,753577,Kidney,Kidney Carcinoma,MSI-H,Y,Y,Y,Y,Y,"22.8, 22, 22.3","92.3, 92.3, 92.3",3,"LB1047_C908r1, LB1047_C908r2, LB1047_C908r3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.93166262,0.92048427,3.2066593,1.578580921,9.421912179,TRUE
SIDM00182,LB771-HNC,753583,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"22, 20.7, 31.2","96, 96, 96",3,"LB771H_c908R1, LB771H_c908R2, LB771H_c908R3","V1.1, V1.1, V1.1","TRUE, FALSE, TRUE",TRUE,0.929072221,0.91779915,2.900520914,1.46025996,9.941120298,TRUE
SIDM00300,LC-1-sq,1298223,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"25.3, 26.2, 25.9","84, 84, 84",3,"LC1sq_c906R1, LC1sq_c906R2, LC1sq_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924348997,0.91125936,2.544250036,1.400313068,9.496150081,TRUE
SIDM00344,LCLC-97TM1,946361,Lung,Non-Small Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"31.4, 31.2, 32.3","89.8, 89.8, 89.8",3,"LCLC97_c906R1, LCLC97_c906R2, LCLC97_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.908008683,0.868945896,2.466205794,1.484040406,4.76347033,TRUE
SIDM00548,LK-2,687787,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"29.6, 32, 32.2","89.7, 89.7, 89.7",3,"LK2_c906R1, LK2_c906R2, LK2_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.923793101,0.910615663,3.109794181,1.563617645,8.766047751,TRUE
SIDM00683,LNCaP-Clone-FGC,907788,Prostate,Prostate Carcinoma,MSI-H,Y,Y,Y,Y,Y,"37.6, 33.8, 34.2","94.6, 94.6, 94.6",3,"LNCaPC_c908R1, LNCaPC_c908R2, LNCaPC_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.930028967,0.906607163,3.03324927,1.628388915,7.291009462,TRUE
SIDM00341,LOU-NH91,1298226,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"28.1, 27.5, 28.6","90, 90, 90",3,"LOUNH9_c906R1, LOUNH9_c906R2, LOUNH9_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.913991181,0.902400689,3.021061701,1.395520097,10.72148956,TRUE
SIDM00839,LoVo,907790,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"21.4, 21.5, 21","79.8, 79.8, 79.8",3,"Lovo_c903R4, Lovo_c903R5, Lovo_c903R6","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.924707087,0.751006835,2.72788151,1.563179606,7.684767965,TRUE
SIDM00340,LP-1,907791,Haematopoietic and Lymphoid,Plasma Cell Myeloma,MSI-S,Y,Y,Y,Y,Y,"23.1, 26, 26.2","88.2, 88.2, 88.2",3,"LP1_c907R1, LP1_c907R2, LP1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.92659527,0.907481691,2.917672963,1.607828945,6.642729696,TRUE
SIDM00681,LS-1034,917486,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"17.2, 18.4, 18.7","93.9, 93.9, 93.9",3,"LS1034_c903R1, LS1034_c903R2, LS1034_c903R3","V1.0, V1.0, V1.0","FALSE, TRUE, TRUE",TRUE,0.901649414,0.72009254,2.557402493,1.368377971,7.038682254,TRUE
SIDM00776,LS-123,907792,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"27.4, 31.3, 26.6","97.2, 97.2, 97.2",3,"LS123_c903R1, LS123_c903R2, LS123_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.855321731,0.63989274,2.332788992,1.200806894,3.268260829,TRUE
SIDM00680,LS-180,998189,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"NA, NA, NA","89.8, 89.8, 89.8",3,"LS180_C902R1_P1D14, LS180_C902R2_P1D14, LS180_C902R3_P1D14","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.923042506,0.745373152,3.437339789,1.621966258,7.365227606,TRUE
SIDM00660,LS-411N,907794,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"32.3, 33.3, 35.7","92, 92, 92",3,"LS411N_c903R1, LS411N_c903R2, LS411N_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.907955106,0.729798567,2.393346373,1.38222116,7.57431636,TRUE
SIDM00677,LS-513,907795,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"21.4, 22.6, 23.5","88, 88, 88",3,"LS513_c903R1, LS513_c903R2, LS513_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.918772988,0.736057322,2.864757546,1.524356308,7.236214677,TRUE
SIDM00547,LU-65,724863,Lung,Non-Small Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"15.3, 18.9, 15.9","89.6, 89.6, 89.6",3,"LU65_c906R4, LU65_c906R5, LU65_c906R6","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.90182954,0.892487797,2.406029216,1.387221155,6.538708063,TRUE
SIDM01219,LU-99A,907796,Lung,Non-Small Cell Lung Carcinoma,MSI-L,Y,Y,Y,Y,Y,"31.3, 26.4, 26.8","92.8, 92.8, 92.8",3,"LU99A_c906R4, LU99A_c906R5, LU99A_c906R6","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.93512657,0.925893972,3.37191869,1.641911137,11.46401625,TRUE
SIDM00339,LXF-289,753592,Lung,Lung Adenocarcinoma,MSI-S,Y,Y,Y,Y,Y,"39.2, 36.2, 38.5","96, 96, 96",3,"LXF289_c906R1, LXF289_c906R2, LXF289_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924220422,0.91259478,2.914197415,1.454414428,11.11916666,TRUE
SIDM01246,MC-IXC,908118,Bone,Ewing`s Sarcoma,MSI-L,Y,Y,Y,Y,Y,"16.5, 17.8, 17.3","91.8, 91.8, 91.8",3,"MCIXC_c906R1, MCIXC_c906R2, MCIXC_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925933489,0.917496482,2.544888993,1.595210603,7.477303951,TRUE
SIDM00008,MCAS,1240171,Ovary,Ovarian Carcinoma,NA,Y,N,N,N,Y,"42, 42.2, 42.6","90, 90, 90",3,"MCAS_c905R1, MCAS_c905R2, MCAS_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.900324462,0.861010229,2.478808187,1.391999679,4.261111723,TRUE
SIDM00148,MCF7,905946,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"27, 25.3, 25.5","90.1, 90.1, 90.1",3,"MCF7_c903R1, MCF7_c903R2, MCF7_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, FALSE",TRUE,0.909634854,0.712834463,2.197564659,1.454123096,4.94260635,TRUE
SIDM00528,MDA-MB-361,908121,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"58.4, 61.7, 60.9","97.6, 97.6, 97.6",3,"MB361_c904R1, MB361_c904R2, MB361_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.915568953,0.738115422,2.227007801,1.2176628,9.714113941,TRUE
SIDM00630,MDA-MB-415,924240,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"35.5, 37.6, 38.2","80.5, 80.5, 80.5",3,"MB415_c903R1, MB415_c903R2, MB415_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.912588632,0.731608862,2.19673253,1.315350019,7.437503802,TRUE
SIDM00629,MDA-MB-436,1240172,Breast,Breast Carcinoma,MSI-L,Y,Y,Y,Y,Y,"31.7, 29.3, 27","86, 86, 86",3,"MB436_c903R1, MB436_c903R2, MB436_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.917366246,0.741380191,2.327905228,1.361666846,8.425911367,TRUE
SIDM00272,MDA-MB-453,908122,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"23.1, 25.6, 25.2","89.3, 89.3, 89.3",3,"MB453_c903R1, MB453_c903R2, MB453_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.886543055,0.695361596,2.009490086,1.217138522,5.805445103,TRUE
SIDM00335,MFE-280,908129,Endometrium,Endometrial Carcinoma,MSI-S,Y,Y,Y,Y,Y,"31.4, 31.7, 30.2","91.3, 91.3, 91.3",3,"MFE280_C908R1, MFE280_C908R2, MFE280_C908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.895060468,0.866537903,2.525408376,1.287869494,6.003050961,TRUE
SIDM00334,MFE-296,908130,Endometrium,Endometrial Carcinoma,MSI-H,Y,Y,Y,Y,Y,"30, 29.9, 30.7","96.8, 96.8, 96.8",3,"MFE296_c908R1, MFE296_c908R2, MFE296_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.926009121,0.90028014,2.631942247,1.498971273,6.933915342,TRUE
SIDM00332,MFM-223,910948,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"29.6, 27.7, 27.7","82.5, 82.5, 82.5",3,"MFM223_c903R1, MFM223_c903R2, MFM223_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.937011337,0.75988201,2.561664228,1.754226996,5.83029643,TRUE
SIDM00386,MHH-ES-1,908134,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,N,Y,Y,"46.7, 47.3, 47.2","92.5, 92.5, 92.5",3,"MHHES1_c907R1, MHHES1_c907R2, MHHES1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.932396252,0.921596398,2.795291883,1.602885575,10.21035281,TRUE
